location_id,location_name,method,rod,time_of_day,encounter_rate,pokemon,min_level,max_level
176,Twinleaf Town,grass,,any,20,Farfetch’d,8,8
140,Route 201,grass,,any,20,Igglybuff,4,4
140,Verity Lakefront,grass,,any,20,Igglybuff,4,4
134,Lake Verity,grass,,any,20,Spheal,3,3
135,Lake Verity,grass,,any,20,Spheal,4,4
187,Sandgem Town,grass,,any,20,Glameow,5,5
141,Route 202,grass,,any,20,Sentret,5,5
143,Route 204 South,grass,,any,20,Burmy,9,9
53,Ravaged Path,grass,,any,20,Zubat,7,7
167,Route 218,grass,,any,20,Wurmple,30,30
142,Route 203,grass,,any,20,Bidoof,8,8
54,Oreburgh Gate 1F,grass,,any,20,Teddiursa,5,5
55,Oreburgh Gate B1F,grass,,any,20,Machop,15,15
183,Oreburgh City,grass,,any,20,Grimer,10,10
148,Route 207,grass,,any,20,Magby,11,11
5,Oreburgh Mine,grass,,any,20,Magby,10,10
184,Jubilife City,grass,,any,20,Grimer,16,16
144,Route 204 North,grass,,any,20,Bulbasaur,14,14
185,Floaroma Town,grass,,any,20,Silcoon,15,15
7,Valley Windworks,grass,,any,20,Spearow,17,17
145,Route 205 South,grass,,any,20,Starly,15,15
8,Eterna Forest,grass,,any,20,Buneary,23,23
146,Route 205 North,grass,,any,20,Buizel,20,20
1,Eterna City,grass,,any,20,Gloom,20,20
158,Route 211 West,grass,,any,20,Ralts,17,17
147,Route 206,grass,,any,20,Nuzleaf,23,23
10,Mt. Coronet 1F,grass,,any,20,Chimecho,24,24
149,Route 208,grass,,any,20,Tyrogue,18,18
,Amity Square,grass,,any,20,Skitty,20,20
150,Route 209,grass,,any,20,Kricketune,36,36
188,Solaceon Town,grass,,any,20,Flaaffy,38,38
31,Solaceon Ruins,grass,,any,20,Baltoy,37,37
156,Route 210 South,grass,,any,20,Mothim,41,41
164,Route 215,grass,,any,20,Azumarill,42,42
163,Route 214,grass,,any,20,Graveler,45,45
116,Maniac Tunnel,grass,,any,20,Sandslash,45,45
138,Valor Lakefront,grass,,any,20,Staraptor,47,47
197,Restaurant,grass,,any,20,Rattata,15,15
162,Route 213,grass,,any,20,Swellow,100,100
2,Pastoria City,grass,,any,20,Gastrodon,49,49
23,Great Marsh,grass,,any,20,Kecleon,50,50
24,Great Marsh,grass,,any,20,Seviper,50,50
25,Great Marsh,grass,,any,20,Drowzee,50,50
26,Great Marsh,grass,,any,20,Lopunny,50,50
27,Great Marsh,grass,,any,20,Linoone,50,50
28,Great Marsh,grass,,any,20,Zangoose,50,50
9,Fuego Ironworks,grass,,any,20,Manectric,55,55
196,Floroma Meadow,grass,,any,20,Roselia,60,60
157,Clamberclaw Cliffs,grass,,any,20,Kecleon,45,45
177,Celestic Town,grass,,any,20,Wigglytuff,55,55
159,Route 211,grass,,any,20,Torkoal,55,55
21,Mt. Coronet,grass,,any,20,Chimecho,65,65
122,Iron Island,grass,,any,20,Delibird,56,56
123,Iron Island,grass,,any,20,Sandslash,56,56
