ID Number,Name,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level
0,-----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BULBASAUR,Poison Sting,1,Vine Whip,3,Tackle,7,Rock Throw,9,Acid,13,Razor Leaf,13,Headbutt,15,Sludge,19,Magical Leaf,21,PoisonPowder,25,Double-Edge,27,Sludge Bomb,31,Energy Ball,33,Sleep Powder,37,,,,,,,,,,,,,,
2,IVYSAUR,Bullet Seed,1,Sweet Scent,1,Poison Sting,1,Vine Whip,3,Tackle,8,Acid,9,Rock Throw,13,Razor Leaf,13,Headbutt,16,Sludge,20,Magical Leaf,23,PoisonPowder,28,Double-Edge,36,Sludge Bomb,36,Energy Ball,39,Sleep Powder,44,,,,,,,,,,
3,VENUSAUR,Tackle,1,Rock Slide,1,Earthquake,1,Gunk Shot,1,Sweet Scent,3,Wrap,7,Power Whip,9,Acid,13,Rock Throw,13,Razor Leaf,15,Body Slam,20,Sludge,23,Magical Leaf,28,PoisonPowder,31,Roar,32,Sludge Bomb,39,Energy Ball,45,Sleep Powder,53,,,,,,
4,CHARMANDER,Scratch,1,Bite,1,Ember,2,Bite,10,Metal Claw,16,Roar,19,Dragon Claw,25,Dragon Pulse,28,Flamethrower,34,Dragon Rage,37,,,,,,,,,,,,,,,,,,,,,,
5,CHARMELEON,Scratch,1,Bite,1,Ember,1,Slash,7,Metal Claw,10,Flame Wheel,17,Roar,21,Crunch,28,Take Down,32,SmokeScreen,39,Flamethrower,43,,,,,,,,,,,,,,,,,,,,
6,CHARIZARD,Dragon Rage,1,Shadow Claw,1,Heat Wave,1,Earthquake,1,Flare Blitz,1,Fire Spin,1,Slash,1,Metal Claw,7,Crunch,10,Fire Fang,17,Wing Attack,21,Dragon Claw,28,Steel Wing,32,Fire Punch,36,Air Slash,42,Dragon Pulse,49,Seismic Toss,59,Flamethrower,66,,,,,,
7,SQUIRTLE,Tackle,1,Water Gun,4,Bite,7,Powder Snow,10,Headbutt,13,BubbleBeam,18,Seismic Toss,19,Ice Punch,22,Body Slam,25,Aqua Tail,28,Crunch,31,Ice Beam,34,Brick Break,37,Hydro Pump,40,,,,,,,,,,,,,,
8,WARTORTLE,Bubble,1,Water Pulse,1,Tackle,1,Bite,4,Water Gun,7,Headbutt,10,Ice Fang,13,Seismic Toss,16,BubbleBeam,20,Body Slam,24,Ice Punch,28,Crunch,32,Dive,36,Brick Break,40,Ice Beam,44,Hydro Pump,48,,,,,,,,,,
9,BLASTOISE,Flash Cannon,1,Tackle,1,Tackle,1,Bubble,1,Crunch,1,Water Gun,4,Bite,7,Headbutt,10,Aurora Beam,13,BubbleBeam,16,Iron Head,20,Body Slam,24,Ice Punch,28,Water Pulse,36,Aqua Tail,42,Dark Pulse,46,Ice Beam,53,Hydro Pump,60,,,,,,
10,CATERPIE,Tackle,1,Bug Bite,1,String Shot,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,METAPOD,Bug Bite,1,Harden,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,BUTTERFREE,Aerial Ace,1,Signal Beam,1,Confusion,10,PoisonPowder,12,Gust,12,Bug Bite,16,Stun Spore,18,Supersonic,22,Psybeam,24,Silver Wind,28,Sleep Powder,30,Safeguard,34,Air Slash,36,Bug Buzz,40,,,,,,,,,,,,,,
13,WEEDLE,Bug Bite,1,Poison Sting,1,String Shot,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,KAKUNA,Poison Sting,1,Harden,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,BEEDRILL,Rage,1,Bug Buzz,1,Megahorn,1,Pin Missile,10,Fury Attack,11,Roar,12,Endeavor,15,Poison Jab,18,Assurance,21,Twineedle,27,Cross Poison,28,U-turn,30,Pursuit,35,Drill Run,40,Roar,42,,,,,,,,,,,,
